Mes,Tipo,Categoria,Descricao,Valor
Junho 2025,Entrada,Serviços,Pintura completa Civic,5200
Junho 2025,Entrada,Serviços,Reparo lateral Fiat,1300
Junho 2025,Saida,Tinta,Tinta vermelha metálica,740
Junho 2025,Saida,Verniz,Verniz PU premium,310
Junho 2025,Saida,Massa,Massa poliéster,95
Junho 2025,Saida,Mão de Obra,Ajudante mensal,1000
Julho 2025,Entrada,Serviços,Pintura geral Toro,6100
Julho 2025,Entrada,Serviços,Polimento e cristalização,850
Julho 2025,Saida,Tinta,Tinta preto fosco,680
Julho 2025,Saida,Verniz,Verniz HS,340
Julho 2025,Saida,Lixa,Discos e lixas,160
Julho 2025,Saida,Solvente,Thinner 5L,65
